iter	Passed	Remaining
0	100	100197
1	181	90647
2	288	95792
3	383	95405
4	458	91181
5	539	89328
6	611	86796
7	687	85213
8	759	83631
9	834	82644
10	907	81605
11	984	81062
12	1078	81871
13	1173	82623
14	1263	82954
15	1344	82674
16	1432	82822
17	1526	83299
18	1597	82504
19	1671	81893
20	1763	82194
21	1848	82176
22	1943	82538
23	2024	82316
24	2097	81799
25	2169	81258
26	2249	81058
27	2317	80434
28	2409	80686
29	2529	81783
30	2632	82276
31	2726	82491
32	2820	82643
33	2897	82322
34	2994	82571
35	3096	82916
36	3187	82954
37	3264	82632
38	3323	81890
39	3395	81480
40	3464	81025
41	3555	81098
42	3648	81200
43	3806	82696
44	3962	84097
45	4111	85266
46	4237	85922
47	4347	86216
48	4470	86756
49	4592	87254
50	4685	87180
51	4788	87293
52	4897	87510
53	4989	87404
54	5078	87255
55	5155	86903
56	5237	86649
57	5317	86370
58	5404	86192
59	5488	85984
60	5582	85937
61	5693	86133
62	5791	86133
63	5902	86320
64	6017	86557
65	6147	86994
66	6303	87772
67	6405	87796
68	6501	87725
69	6608	87796
70	6688	87516
71	6757	87099
72	6830	86736
73	6900	86345
74	6962	85876
75	7033	85517
76	7107	85200
77	7180	84882
78	7253	84557
79	7335	84356
80	7407	84048
81	7483	83777
82	7557	83500
83	7618	83083
84	7689	82772
85	7766	82543
86	7857	82456
87	7952	82417
88	8023	82132
89	8092	81822
90	8165	81567
91	8261	81537
92	8366	81592
93	8447	81423
94	8541	81367
95	8633	81294
96	8727	81242
97	8844	81408
98	8937	81344
99	9037	81333
100	9105	81051
101	9181	80835
102	9250	80564
103	9321	80311
104	9411	80221
105	9508	80195
106	9595	80082
107	9666	79839
108	9737	79595
109	9809	79370
110	9877	79112
111	9947	78869
112	10019	78651
113	10092	78438
114	10163	78214
115	10232	77982
116	10293	77687
117	10364	77470
118	10448	77353
119	10525	77183
120	10595	76973
121	10666	76763
122	10735	76545
123	10804	76331
124	10874	76120
125	10976	76139
126	11086	76209
127	11175	76134
128	11258	76019
129	11343	75913
130	11424	75782
131	11538	75871
132	11629	75807
133	11701	75624
134	11772	75429
135	11869	75408
136	11969	75399
137	12105	75616
138	12235	75788
139	12338	75794
140	12430	75727
141	12535	75744
142	12641	75761
143	12760	75853
144	12855	75804
145	12947	75736
146	13036	75647
147	13130	75589
148	13220	75505
149	13311	75433
150	13392	75296
151	13476	75186
152	13557	75050
153	13665	75074
154	13749	74955
155	13831	74831
156	13913	74709
157	14003	74625
158	14130	74738
159	14247	74797
160	14420	75149
161	14602	75537
162	14738	75683
163	14850	75700
164	14978	75800
165	15087	75799
166	15177	75705
167	15268	75613
168	15355	75503
169	15431	75342
170	15502	75154
171	15570	74954
172	15640	74765
173	15716	74607
174	15792	74449
175	15863	74269
176	15937	74103
177	16008	73924
178	16079	73750
179	16156	73602
180	16235	73461
181	16337	73430
182	16420	73307
183	16494	73150
184	16568	72989
185	16641	72828
186	16739	72776
187	16839	72732
188	16929	72642
189	17012	72526
190	17115	72494
191	17209	72421
192	17323	72435
193	17436	72441
194	17532	72378
195	17615	72259
196	17705	72168
197	17794	72075
198	17901	72057
199	17984	71937
200	18069	71830
201	18156	71726
202	18252	71661
203	18346	71586
204	18465	71610
205	18558	71532
206	18650	71446
207	18744	71374
208	18832	71275
209	18925	71197
210	19022	71131
211	19110	71033
212	19210	70979
213	19295	70871
214	19388	70790
215	19511	70818
216	19633	70843
217	19713	70714
218	19799	70608
219	19896	70542
220	20005	70517
221	20089	70403
222	20174	70294
223	20302	70332
224	20403	70280
225	20522	70283
226	20643	70296
227	20758	70288
228	20857	70223
229	20943	70114
230	21042	70049
231	21112	69888
232	21184	69735
233	21253	69572
234	21330	69437
235	21397	69271
236	21472	69129
237	21574	69073
238	21676	69020
239	21749	68872
240	21819	68718
241	21889	68561
242	21984	68486
243	22060	68352
244	22137	68218
245	22218	68099
246	22304	67997
247	22398	67919
248	22505	67877
249	22614	67844
250	22703	67748
251	22791	67650
252	22873	67534
253	22960	67433
254	23059	67370
255	23144	67264
256	23230	67160
257	23315	67054
258	23383	66901
259	23460	66770
260	23554	66692
261	23649	66616
262	23734	66511
263	23814	66393
264	23889	66259
265	23964	66128
266	24035	65985
267	24133	65916
268	24206	65779
269	24289	65671
270	24381	65588
271	24460	65467
272	24552	65383
273	24646	65304
274	24780	65331
275	24949	65446
276	25111	65543
277	25287	65675
278	25409	65662
279	25503	65579
280	25617	65547
281	25734	65523
282	25853	65501
283	26013	65583
284	26163	65639
285	26326	65723
286	26453	65718
287	26633	65844
288	26831	66010
289	26954	65993
290	27058	65927
291	27253	66079
292	27441	66216
293	27516	66077
294	27601	65963
295	27678	65830
296	27756	65698
297	27852	65613
298	27952	65533
299	28070	65496
300	28203	65496
301	28376	65585
302	28565	65710
303	28728	65773
304	28846	65731
305	28963	65689
306	29085	65654
307	29199	65605
308	29334	65598
309	29510	65684
310	29661	65714
311	29771	65649
312	29869	65559
313	29991	65523
314	30092	65440
315	30195	65360
316	30296	65276
317	30391	65178
318	30480	65069
319	30588	64999
320	30736	65014
321	30836	64928
322	30928	64826
323	31016	64712
324	31101	64595
325	31194	64493
326	31302	64423
327	31415	64362
328	31516	64278
329	31608	64174
330	31689	64049
331	31824	64032
332	31905	63906
333	32010	63829
334	32108	63737
335	32213	63660
336	32329	63604
337	32433	63524
338	32533	63436
339	32641	63362
340	32737	63267
341	32808	63123
342	32911	63040
343	32985	62902
344	33058	62763
345	33129	62619
346	33210	62497
347	33285	62362
348	33375	62256
349	33476	62170
350	33560	62053
351	33635	61920
352	33715	61794
353	33784	61651
354	33864	61529
355	33985	61479
356	34076	61376
357	34169	61275
358	34253	61160
359	34339	61048
360	34440	60963
361	34550	60892
362	34658	60819
363	34761	60737
364	34852	60632
365	34944	60532
366	35079	60505
367	35166	60393
368	35238	60258
369	35316	60133
370	35394	60008
371	35465	59871
372	35561	59777
373	35653	59676
374	35727	59545
375	35808	59426
376	35879	59291
377	35948	59153
378	36021	59021
379	36142	58969
380	36247	58889
381	36326	58769
382	36400	58639
383	36467	58499
384	36550	58386
385	36638	58280
386	36730	58181
387	36818	58074
388	36901	57961
389	36986	57850
390	37071	57740
391	37138	57602
392	37248	57531
393	37323	57406
394	37407	57294
395	37489	57181
396	37570	57065
397	37653	56953
398	37761	56878
399	37877	56816
400	38052	56840
401	38190	56810
402	38326	56775
403	38455	56731
404	38553	56640
405	38658	56559
406	38750	56460
407	38835	56349
408	38929	56252
409	39013	56142
410	39104	56039
411	39177	55913
412	39257	55797
413	39336	55679
414	39437	55592
415	39514	55471
416	39591	55351
417	39684	55254
418	39782	55163
419	39912	55116
420	40035	55061
421	40171	55021
422	40310	54986
423	40420	54910
424	40549	54861
425	40635	54753
426	40716	54637
427	40797	54523
428	40873	54403
429	40959	54295
430	41056	54202
431	41157	54113
432	41267	54038
433	41365	53947
434	41438	53822
435	41511	53698
436	41617	53616
437	41688	53490
438	41769	53377
439	41853	53268
440	41945	53169
441	42034	53066
442	42140	52984
443	42245	52902
444	42334	52798
445	42421	52693
446	42515	52597
447	42607	52498
448	42735	52443
449	42826	52343
450	42917	52243
451	43024	52162
452	43132	52082
453	43239	52001
454	43335	51907
455	43433	51815
456	43525	51716
457	43629	51630
458	43774	51594
459	43891	51525
460	43999	51443
461	44114	51371
462	44250	51322
463	44395	51284
464	44519	51221
465	44645	51160
466	44748	51073
467	44831	50962
468	44968	50913
469	45062	50814
470	45159	50720
471	45265	50636
472	45421	50606
473	45507	50500
474	45663	50470
475	45844	50467
476	46015	50453
477	46140	50387
478	46253	50308
479	46371	50235
480	46468	50139
481	46587	50066
482	46685	49972
483	46787	49880
484	46885	49785
485	46973	49679
486	47065	49578
487	47203	49524
488	47288	49415
489	47388	49322
490	47483	49223
491	47579	49126
492	47673	49027
493	47766	48926
494	47830	48796
495	47912	48685
496	47986	48566
497	48080	48466
498	48391	48585
499	48479	48479
